[2025-05-16 17:41:09,773: INFO:  main Starting the application]
[2025-05-16 17:41:20,041: INFO:  main:  Starting the application]
[2025-05-16 18:08:09,095: INFO:  main:  Starting the application]
[2025-05-17 09:55:51,318: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 09:55:51,322: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 09:55:51,323: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 09:55:51,324: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 09:57:52,408: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 09:57:52,410: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 09:57:52,411: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 09:57:52,411: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 09:58:23,608: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 09:58:23,636: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 09:58:23,651: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 09:58:23,724: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 09:59:04,212: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 09:59:04,222: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 09:59:04,225: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 09:59:04,227: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 09:59:04,229: INFO:  2968198114:  Downloading file from: https://github.com/entbappy/Branching-tutorial/blob/master/summarizer-data.zip]
[2025-05-17 10:01:38,892: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 10:01:38,894: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 10:01:38,895: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 10:01:38,896: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 10:01:38,897: INFO:  1514325480:  File already exists at: artifacts/data_ingestion/data.zip.]
[2025-05-17 10:01:38,897: INFO:  1514325480:  File size:  173 KB bytes.]
[2025-05-17 10:01:38,899: INFO:  1514325480:  Extracting file to: artifacts/data_ingestion]
[2025-05-17 10:01:38,900: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 10:02:35,517: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 10:02:35,519: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 10:02:35,520: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 10:02:35,520: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 10:02:35,521: INFO:  1514325480:  File already exists at: artifacts/data_ingestion/data.zip.]
[2025-05-17 10:02:35,521: INFO:  1514325480:  File size:  173 KB bytes.]
[2025-05-17 10:02:35,521: INFO:  1514325480:  Extracting file to: artifacts/data_ingestion]
[2025-05-17 10:02:35,522: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 10:05:33,429: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
[2025-05-17 10:05:33,431: INFO:  common_func:  Yaml file: params.yaml has been loaded succesfully]
[2025-05-17 10:05:33,432: INFO:  common_func:  created directory at: artifacts]
[2025-05-17 10:05:33,432: INFO:  common_func:  created directory at: artifacts/data_ingestion]
[2025-05-17 10:05:33,433: INFO:  1514325480:  Downloading file from: https://github.com/rohith05196/Text_Summarization_NLP/blob/main/summarizer-data.zip]
[2025-05-17 10:06:27,482: INFO:  common_func:  Yaml file: config/config.yaml has been loaded succesfully]
